Index;Text;Class;True class
1;This is what it’s all about. The cut and thrust of Ashes cricket. Let’s just have a beer and reminisce. Why cricket is the best!;Sport;Sport
2;WHO WILL WIN? ITALY - 1.66 SWITZERLAND-6.0DRAW - 3.85;Sport;Sport
3;Laporta becomes a member of the RFEF Council.;Sport;Sport
4;HE'S DONE IT!! Eliud Kipchoge achieves 'the impossible' and runs a marathon in under 2 hours. Mission accomplished. One of the most remarkable achievements in history.;Sport;Sport
5;I know this is not the first time I've said this but.... 24 pages and not a single mention of women's sport - Am I missing something?;Sport;Sport
6;Finish pencil work of Anthony Oluwafemi Olaseni Joshua, professional boxer who is a champion, having held the WBA, IBF, WBO, and IBO titles since December 2019. Total fights24 Wins23;Sport;Sport
7;Greetings from the Sport Industry Awards!;Sport;Sport
8;Hundreds of thousands of people will get drenched today, sodden through, for 2 hours with nowhere to leave change of clothes and no changing rooms to shower after a game. And every one of them, will love it! Today will show how important sport is to mental health Let’s go ;Sport;Sport
9;We need this at the Winter Olympics ASAP. It's so much better than Curling.;Sport;Sport
10;Fast and furious! Discover Hurling, the fastest game on grass!;Sport;Sport
11;All electric 2022 Fisker Ocean out driving in the wild!;Sport;Sport
12;Me commentary on Women's Soccer vs Men's Soccer.;Sport;Sport
13;WOW: Perfect shot of a swimmer just before the water’s surface tension is broken;Sport;Sport
14;15 February 1943 | A Pole Józef Noji was shot in Auschwitz. One of the best long-distance runners of the 2nd Polish Republic. He was an Olympian, multiple champion of Poland in the 5000, 10000 & cross country running & a tram driver.;Sport;Sport
15;"Argentina has cancelled a football Match with Israel in protest at Israel killing unarmed Palestinians. Israel says it is anti-Jewish 2do this; Argentina suggests it is nothing to do with being anti-jewish, but 2do with standing up for human rights. ";Sport;Politics
16;As they say “Genius leaves Clues” and Ronaldo is certainly one. Track him & the defender front of him. Both observe exactly the same things but Ronaldo times his jump just a few secs before the defender to head it home. Unbelievable anticipation & pure precision.;Sport;Sport
17;Admirable sportsmanship from Japan's Asahina Sarah as she claims the World title with immense respect!!;Sport;Sport
18;Great event in Paris for the Hall of fame at the FIA. It’s a big pleasure to be the fist driver to be inducted in both the F1 and FIAWEC Halls of Fame. Thank You.;Sport;Sport
19;"""A picture speaks a thousand words"" June 11-17th men's health week!! Check in with friends, family or colleagues, because one conversation can save a life";Sport;Sport
20;Its International Day Against Homophobia, Biphobia & Transphobia. Nobody should face discrimination, especially in sport;Sport;Sport
21;What's your favorite sport? Model: elisarose sg;Sport;Fashion
22;Spot the distinction: Three of these are FEMALE surfers who have an “athletic identity.”One of these is a MALE in a dress holding a surf board using sport to affirm “woman identity.”;Sport;Sport
23;When analyzing short sprints like the NFL Combine 40-yard dash, interesting to note that even fastest athletes approach top speed (> 90% Vmax) relatively early in sprint. Based on Clark et al (2019), JSCR.;Sport;Sport
24;On this day (2nd Aug) in 1988 I joined Everton to start a new chapter in my career. Great times at Goodison thanks for supporting me so much over the years toffees.;Sport;Sport
25;Sunday ride;Sport;Sport
26;She was crying because she won. I was crying because I was cramping;Sport;Sport
27;THIS IS RACE DAY !!! The first ever Hypercar race is about to start.;Sport;Sport
28;Class is in session;Sport;Sport
29;Random: Brazilian Football Team Invokes The Spirit Of Pokémon To Welcome Veteran Japanese Player;Sport;Games
30;Today we reached our goal by playing a great match It was remarkable! Thank you for all the support to our team. Can’t wait for the next match on Thursday!;Sport;Sport
31;Wishing you all an inspirational and momentous 2018. Life is full of challenges and overcoming these adversities makes it even more meaningful.;Sport;Sport
32;It was my pleasure to sit down & speak with Minister of Youth Affairs & Sports, Rajyavardhan Singh Rathore. We signed an agreement in support of integrity of sport & working together to address challenges facing sport.;Sport;Sport
33;GAA Clubs and Counties are after sacrificing so much since March. We have lead by example, we have listened and adapted. They are other problems that need to be addressed, but yet sporting events gets punished for doing everything right.;Sport;Sport
34;Cameraman with heavy camera in one hand, looking mostly backwards, seems to be the winner.;Sport;Sport
35;Only when your activity is exuberant, will you keep crossing limits. Sport is exuberant activity, so crossing limits becomes natural.;Sport;Sport
36;Wimbledon, THIS ... and STILL an NBA Finals game tonight?;Sport;Sport
37;From Muhammad Ali to Colin Kaepernick, the proud history of black protest in sport. A lovely opportunity to write with my brother;Sport;Sport
38;India will become a GREAT sporting nation when sport is made an integral part of our education system. May we transform our ways of education from an oppressive system to a playful process.;Sport;Politics
39;There are many athletes & sports journalists among our followers;Sport;Sport
40;What have we just witnessed?!!!!!!Congrats benstokes38 congrats englandcricket Magical - but more importantly - they stay in the series;Sport;Sport
41;Severn Class are having a great time in PE this afternoon!;Sport;Sport
42;Match Poker brings nations and people together! Korean and Japanese national teams collectively pose for photos at the 2019 Asian Nations Cup in Taiwan;Sport;Sport
43;Mic’d up with KPI FT;Sport;Sport
44;The player and his agent don't feel any pressure for refusing to answer the club's offer.;Sport;Sport
45;West Ham attacker Antonio agrees new deal ;Sport;Sport
46;Here are some of our resolutions for 2022. What are your goals? Let us know in the comments below.;Sport;Sport
47;Happy New Year! We're starting the year off in a sporting fashion! Yesterday, Year 3 had their first badminton lesson. They really enjoyed the challenges of trying this new sport and made great progress in the lesson. ;Sport;Sport
48;Many of my very first Paintings (fish)are mainly related to the ocean. Scubadiving changed my life at many levels and i can't say how deep it keeps my attention and feelings. The ocean is also an emotional experience;Sport;Sport
49;Women's Double Layer Shorts;Sport;Fashion
50;About last night... Plot twist you said?;Sport;Sport
51;Kei Kamara in Douala, good luck to you all.;Sport;Sport
52;Here Comes World’s Fastest 100 Meters Para Skater;Sport;Sport
53;Our favourite soundtrack ever;Sport;Music
54;Hi moots! This is one of the characters that were in my new year drawing. Just a character that I drew randomly and ended up liking too much. Btw I'm calling her Bei for now, but not sure yet;Sport;Sport
55;How’s that for a list? Debate;Sport;Sport
56;The beginning of the end of the Winter Olympics? Fifty years ago on the first page of the Sport newspaper...;Sport;Sport
57;Novak Djokovic is playing the Australian Open thanks to a special permit. Which means he is not vaccinated. A slap in the face of millions of Australians. Profit over people;Sport;Sport
58;Mum on duty - a glimpse of the academy boys doing resistance hill sprints;Sport;Sport
59;Fashion Groom Wedding Shoes;Sport;Fashion
